Number of Points,Import I/O,Preprocessing,Cover and Grow,2D Contour,3D Contour,Geometric Features,Export I/O, Tetgen 1,Tetgen 2,Triangle 1,Triangle 2
10240,14252,6809,17928,112104,918553,630750,427062,64835,64263,699,598
10240,14536,6937,17676,117151,920966,612726,425003,65199,64836,693,717
10240,14398,6928,17752,112941,916209,600542,425028,66928,64431,698,625
10240,14509,6852,17818,114337,922352,617264,427776,65625,64428,698,586
10240,14365,6964,17765,115840,940109,621260,423848,65051,64853,757,603
11560,16124,8164,19102,123119,1004038,690283,472587,68644,68622,679,614
11560,16310,8057,19250,126389,1016950,774639,467916,68924,68342,675,677
11560,16213,7786,19291,124757,1004363,695828,468749,68831,68141,672,636
11560,16163,7896,19089,122748,999527,664590,466039,68687,68091,707,619
11560,16406,7920,19088,129314,1000253,680075,470288,68254,68129,665,596
12960,17975,8875,20954,143895,1102076,758756,521248,76277,76537,831,732
12960,17988,9100,21217,143814,1109388,735494,522086,76514,76550,865,726
12960,18044,8888,21354,143115,1119002,759154,519282,76949,76023,834,754
12960,18196,8916,21184,143423,1123636,755578,519097,76684,76575,830,805
12960,18250,9062,21178,149549,1107632,747390,518420,76449,75858,846,774
14440,20058,10110,23335,162862,1234049,927837,584783,84473,84202,936,893
14440,20395,10516,23471,167526,1257431,860555,579766,84132,82757,950,994
14440,20097,10416,23424,164901,1249377,855714,588977,86785,83233,995,881
14440,20006,10095,23587,167438,1254507,940951,585143,84571,83880,949,924
14440,20203,10091,23303,167990,1263501,898399,584115,84603,84392,1011,911
16000,22127,11212,26940,210471,1437538,1008756,652193,96140,94969,990,928
16000,23704,13225,34941,278747,1448401,998441,657974,97328,96051,2723,1401
16000,22465,11116,27169,203467,1411185,949456,657719,96408,94977,987,935
16000,22589,11280,26814,206959,1424932,1011627,649095,96780,95276,984,1002
16000,22321,11197,27025,204250,1403916,963086,646963,96732,96218,994,921
17640,24568,12366,28576,226492,1519456,1102259,705828,101721,100234,1037,995
17640,24641,12723,28585,228075,1535850,1046762,707474,101888,100959,1069,978
17640,24628,12477,28423,220472,1522916,1062158,702199,101500,100401,1025,989
17640,24897,12473,28640,223096,1517951,1382311,715193,103226,100908,1039,976
17640,24544,12672,28736,230310,1530083,1062260,705870,101840,101639,1036,988
19360,26835,13891,33048,273087,1722557,1200479,793576,118568,117063,1246,1211
19360,26701,13920,33039,272512,1725587,1263331,788176,117316,116322,1252,1185
19360,26941,13785,32774,270612,1719637,1224957,786974,117458,116551,1247,1274
19360,27499,14359,33556,281385,1744151,1229190,787388,117770,116063,1260,1186
19360,27135,13980,32945,273810,1729840,1245352,787530,117820,116398,1234,1204
21160,29587,15266,35876,298595,1916289,1325173,861599,126042,125407,1343,1273
21160,29430,15336,35572,298786,1867986,1372294,864412,126405,124749,1437,1277
21160,29341,15604,35937,307539,1875428,1311281,857452,126559,125384,1395,1336
21160,29557,15282,35728,299712,1862923,1322502,854159,126767,125084,1470,1328
21160,29488,15347,35909,299717,1883692,1309865,858442,126295,125361,1331,1371
23040,32301,17179,36286,305007,1958170,1371384,919945,126586,124805,1461,1386
23040,32287,17119,36085,301551,1952118,1436921,913625,126774,124421,1491,1385
23040,32172,16870,35982,308168,1971013,1417579,912993,126670,128406,1525,1544
23040,32286,18506,36755,304796,1963752,1449430,915056,126652,125505,1506,1445
23040,32469,16731,36317,306272,1952535,1421029,913137,127510,125799,1653,1430
25000,35011,18352,41600,351801,2198710,1575907,1010367,145520,144888,1609,1584
25000,34713,18276,41874,353459,2231468,1966949,1131161,147311,144495,1600,1514
25000,35123,18569,42062,351012,2194260,1581759,1003716,146381,144398,1717,1587
25000,35284,18304,41954,362550,2180977,1535663,1006472,147543,144893,1590,1551
25000,35042,18281,42081,357274,2203635,1599649,1003772,150568,145277,1603,1522
27040,37451,20724,45670,375339,2343818,1683298,1084578,156247,154557,1622,1532
27040,37280,19841,45110,378369,2408618,1657305,1077614,157627,155531,1521,1619
27040,37866,20344,46070,384230,2359136,1666726,1080438,156967,154612,1577,1549
27040,37550,19588,44983,386911,2383389,1688862,1085749,158736,155767,1637,1557
27040,38078,19895,44941,384453,2373225,1698339,1078033,157416,155103,1569,1563
29160,40579,22513,49492,412912,2574600,1861472,1416826,166731,164650,1837,1799
29160,40587,22210,49110,560382,2572376,1866440,1168666,166611,164639,1866,1799
29160,41164,21762,49434,415968,2561379,1806660,1167444,172181,164717,1832,1771
29160,40953,21898,48906,418065,2534612,1807850,1165809,166752,163896,1775,1787
29160,40599,21651,49009,414405,2538487,1827042,1166696,166305,165368,1769,1783
31360,43601,24101,52256,472354,2715045,2021637,1244826,180163,179303,1938,1878
31360,43463,23992,52472,458602,2717351,1979391,1243268,181378,180139,1960,1906
31360,43650,24011,52300,472018,2734849,1971961,1248828,180946,178058,1951,1950
31360,43874,23958,52793,465861,2710217,2028163,1241514,180336,179433,1958,1878
31360,43539,24237,52912,465330,3149551,1972528,1255254,210908,216366,1942,1915
33640,46674,26391,56532,495902,2930517,2124365,1342317,187136,187027,2086,1989
33640,47136,26066,55871,502011,2940755,2088585,1334118,186898,185493,2104,1958
33640,46899,25779,56388,506661,2916171,2122501,1357978,187015,185347,2030,1993
33640,46965,26058,57354,498806,2919492,2134809,1334053,187036,185594,2026,2015
33640,47350,26289,56163,508377,2888949,2069509,1332494,187523,186171,2055,2125
36000,50280,28308,58101,511188,3019775,2187481,1398245,187024,185753,1984,1889
36000,49896,28712,57983,511222,3319736,2447228,1410176,187853,187018,1874,1797
36000,50323,27795,58515,519585,3012340,2192999,1396114,187957,185901,1869,1855
36000,49956,28185,57995,514631,3012977,2234628,1403386,187488,185857,1889,1801
36000,50221,28234,58009,516741,3030721,2404023,1407508,187653,185607,1918,1829
38440,53453,30909,64979,608938,3311839,2452560,1527673,213840,214755,2289,2191
38440,53312,29774,65710,628979,3306166,2417237,1529070,215046,213273,2338,2186
38440,53530,29989,65243,610861,3313579,2485270,1529591,214193,214466,2276,2233
38440,54171,30438,64887,625702,3749854,2449172,1528643,222470,273145,2345,2226
38440,53796,30578,66170,618616,3316304,2494690,1528132,214369,211606,2179,2317
40960,57630,33207,68629,687303,3585759,2817875,1657350,228248,227654,2395,2323
40960,58430,34976,68667,674602,3652671,2708446,1645475,252013,225911,2344,2289
40960,57203,33238,70570,671743,3573993,2697012,1650653,228089,226249,2336,2265
40960,56907,36501,69337,680126,3586771,2727406,1652887,228788,226212,2402,2423
40960,56568,32719,70986,688862,4018847,2716305,1657499,229007,342794,2332,2302



3702,7098,185843,5714,58897,378483,209561,95884,44232,46274,1119,1044
3702,11728,197753,5281,48003,486303,123534,76497,38990,38810,1056,930
