7775,7743,7980,3169
11078,11115,5216,11079
1494,6811,725,2237
7954,3143,3144,3380
7558,2739,7557,7313
282,5532,4856,6344
10496,6624,9887,6032
14454,9585,14227,15295
5392,5434,424,818
15474,9483,14960,10318
6266,1585,6159,6262
7184,7178,11463,6945
12424,7938,12535,8024
4218,9042,9043,8792
12526,17403,12528,17170
10450,4745,11045,10705
9706,10763,15573,15405
7365,7364,7123,2549
160,849,5661,1087
4849,275,6015,5841
16213,16453,16384,11571
5733,6020,11070,9823
7128,6908,11900,11788
5250,676,5554,5722
7551,7550,7307,2733
16563,11680,16322,16323
7070,2495,7311,7069
12975,17670,12791,13028
4459,9033,9034,4210
13175,8448,12932,12933
8273,12547,8036,8271
7703,7793,12304,7938
76,4650,5594,6224
4144,8718,3898,4143
1576,6210,6150,1411
6680,6681,11361,5711
4847,6229,273,6056
11183,15937,11295,11184
6682,10431,6300,11382
15365,15574,10723,15655
6291,228,6223,1649
16555,16554,11672,11912
8947,4122,8944,4370
13227,13474,13351,8887
6371,1265,6319,1745
10884,9872,15529,15526
17248,12375,17249,12606
12358,7846,12588,7613
5617,5714,9571,9534
9920,6683,10742,6623
8618,13092,8376,13336
12085,16862,16956,16727
3462,3699,8273,3697
16678,16679,11793,16435
13712,13459,9029,13535
9748,10215,14857,10005
9956,5326,5338,5393
6305,10222,4808,10664
6539,9994,4919,6249
4946,10280,6362,5538
12784,12551,17426,12552
13903,14835,9261,13935
8445,3630,8373,3799
8843,13289,8844,13354
6907,2041,6615,6616
12698,8131,12697,12463
3764,8338,8579,8580
13422,18065,18318,13423
10943,9228,10009,15585
9216,4931,4631,6295
977,5551,868,187
8512,12780,13016,13017
8941,4367,9118,9070
15933,10806,15448,9999
5610,399,5730,1036
765,330,5739,1165
4567,13754,13780,9141
9444,5743,10691,10672
6333,9501,6167,4894
6180,5161,9350,5834
8818,8620,13168,8571
1693,684,6443,6267
17523,12646,17522,17288
3161,3398,7972,3247
6464,9801,5822,9762
10978,4680,5323,9204
7102,11625,11832,11868
15362,14289,9647,15189
13728,13474,18370,13475
8607,13285,13043,13134
14525,9224,13914,9272
2395,2174,6969,2137
1586,268,6160,6538
11698,11940,16582,11697
10806,11291,15997,11355
9876,10863,5798,6002
4708,9786,9869,5823
7763,7984,3189,3175
954,360,5528,567
1851,6425,1001,1140
10810,6669,9768,10764
6250,229,4803,5783
5334,253,6251,760
3312,3079,7887,3313
11987,16632,11744,16629
6522,1435,6009,127
12515,7919,12285,12516
5528,4996,9234,10546
5050,476,6502,6193
2354,2409,7167,6983
1690,1995,6569,1994
4278,4279,8853,9106
4279,4032,8853,8854
811,1315,6120,5889
12463,7971,12228,7734
12582,17225,12583,12353
11891,7375,12129,7133
14506,9421,14374,9732
3851,8425,3609,3611
8028,12570,8056,12769
11417,11416,6581,11650
11870,7350,11743,11989
16131,11043,15686,11044
13760,9076,13566,13759
6590,6588,11420,9244
10107,9650,15172,10530
6371,1265,5839,6319
12317,7802,12088,12318
209,1004,132,5578
7603,2788,7363,2789
14823,9221,13863,14429
9173,13815,15156,15018
13778,13531,18426,13784
6025,581,5183,5155
13992,9350,14840,14460
12924,8343,12745,8107
7203,2389,6963,6964
702,5823,5276,6434
7033,6783,2209,7032
8128,12686,12452,12451
9078,4251,4504,4503
9152,4753,10734,4917
5669,360,4934,300
