100000,137806,88779,174309,2760900,8734543,7003821,3933024,553021,540814,5874,7170
100000,146076,89929,171298,2842360,8756613,7087384,3932268,554682,540205,5855,6722
104040,149680,99274,184154,3802738,9347583,7739924,4170004,576483,571671,6008,5915
104040,151727,93629,185366,3395951,9296401,7538587,4166849,573549,571344,6051,5904
104040,150181,94354,182631,3318934,9684531,7607740,4168685,574598,572654,5950,7350
104040,151959,94097,184074,3373075,9336942,7573492,4249281,572285,579212,6073,7347
104040,147986,94277,183278,3328658,9367794,7402976,4158108,570456,595478,5927,7276
108160,151870,97877,180494,3175517,9411298,7693287,4278542,560341,555748,6232,6362
108160,155779,98077,184138,3486162,9978321,8026434,4332816,582512,557084,6131,6017
108160,159043,98215,183987,3173389,9451983,7687729,4273695,558187,554301,6081,6225
108160,157093,97684,183338,3076675,9437685,8346940,4294473,564846,558327,6173,5991
108160,157446,96275,181697,3172487,9478597,7767233,4275353,562746,560946,6067,5982
112360,165193,101994,195820,3480551,10000939,7952527,4475172,613579,607029,6765,6831
112360,162259,101140,194244,3471342,10121960,8037171,4480932,615034,608479,6808,6659
112360,163032,99975,193432,3462770,9996657,8027383,4488468,614896,616011,6824,8079
112360,162989,99479,193764,3401027,10039480,8129509,4474875,614099,606103,6893,6718
112360,161606,101643,194498,3560082,10433387,8448870,4488294,799352,607518,6864,6663
116640,162447,102439,206110,3727926,10678901,8951549,4713020,652303,650138,6953,6760
116640,232805,102946,207340,3739943,10625428,8635893,4734132,653796,652160,6832,7869
116640,170308,102826,205446,3736823,11019888,8782866,4713178,649563,649747,6897,8606
116640,167888,105633,208904,3831910,10748913,8757856,4705897,656808,699967,6946,6835
116640,167194,102275,204253,3800174,10871214,8649339,4680632,653539,919357,6586,6724
121000,169087,108822,207404,3887486,10747636,9002412,4856364,640102,635552,6274,6213
121000,174714,107311,205989,3867699,10681417,8802558,4820947,640539,631509,6236,6641
121000,178796,106559,208757,3853977,10753379,9122605,4822023,636612,630725,6256,7550
121000,175405,107223,209580,3774507,10683763,8832467,4794054,635681,632609,6135,6136
121000,174584,109037,206812,3889073,11193303,8944562,4860552,639139,633391,6200,6002
125440,174958,113266,225332,4145439,10979965,9154968,4995420,638629,638366,7327,7253
125440,179611,110801,274091,3868784,11006090,9380903,4990191,638256,636061,31185,7988
125440,179737,110143,209442,3901616,10895978,9075731,4956190,639570,636915,7501,7352
125440,179820,112571,214059,3905462,10940761,9153215,4951419,640081,636959,7793,7345
125440,178869,112810,213208,3842847,10929947,9325931,4944419,638773,636707,7302,7325
129960,181730,117018,227396,4454773,11426254,9993998,5164364,700888,694057,7549,8370
129960,189116,113747,228302,4462341,11517362,9725472,5217278,695713,695305,7351,8117
129960,185753,116229,231049,4569532,12035825,9789292,5218364,710250,816165,7640,7464
129960,187869,113497,224931,4647596,11977604,9663756,5209535,705836,702487,7678,8058
129960,185097,114432,230315,4549375,11457833,9734617,5214219,695884,693703,7551,7857
134560,187550,118400,236767,4745418,12339302,9934840,5383646,724294,724785,7453,8335
134560,193555,118154,241027,4645252,11912760,9929398,5679021,727789,722908,7555,8187
134560,190725,118327,234635,4566852,11894970,9955759,5373467,722987,724146,7468,7339
134560,194708,118169,235962,4984932,11925820,9919359,5424233,729906,725634,7582,7448
134560,193062,118858,237023,4567644,11889416,10033501,5456272,727478,726886,7446,8508
139240,193526,124650,241903,4724613,12180544,10279950,5524268,725873,725100,6381,7219
139240,198532,122386,249395,4642521,12171353,10720118,5539208,731984,728476,6560,7372
139240,201833,122029,240848,4676393,12192823,10372385,5520757,728063,727834,6500,7226
139240,199106,123263,240050,4699932,12206906,10264929,5509639,723845,723523,6503,8712
139240,198563,121803,239901,4826718,12135306,10426041,5513058,723674,724097,6280,7279
144000,199660,127460,258762,5325640,12825772,10918161,5781180,769399,764422,7273,7881
144000,206691,125927,255273,5267737,12829958,11016259,5812953,763412,759236,7413,7257
144000,204378,125788,257859,5373788,12829389,10901414,5785345,760831,759385,7373,7893
144000,206372,126171,259446,5435872,13060170,11080829,5842003,769256,765186,7300,7224
